날짜,금액,설명,카테고리
20240925,-1500,버스이용,
20240925,-15000,CGV,
20240925,-9900,육앤샤,
20240926,-1900,CU,
20240926,-24840,에이블리,
20240926,-1500,버스이용,
20240926,-16100,배달의 민족,
20240927,-5500,투썸플레이스,
20240927,-25000,롯데마트,식비
20240928,-2550,버스이용,
20240928,-3200,세븐일레븐,
20240928,-21000,일백집,식비
20240928,-2550,버스이용,
20240929,-21900,배달의 민족,
20240929,-3000,크라운PC방,
20240929,-8000,크라운PC방,
20240930,-1500,버스이용,
20240930,-1500,버스이용,
20241001,-2420,카카오바이크,
20241001,-15000,다온푸드,
20241001,-6500,세븐일레븐,
20241002,-7200,이비인후과,
20241002,-4200,우리약국,
20241003,-10800,메가커피,
20241003,-13000,미용실,
20241004,-6100,CU,
20241004,-1020,카카오바이크,
20241004,-3000,쥬시,
20241005,-70630,에이블리,
20241005,-1500,버스이용,
20241005,-12100,스타벅스,
20241006,-15000,메가박스,
20241006,-6900,마라탕,
20241006,-5000,노래방,
20241006,-12900,대동서적,
20241007,-1500,버스이용,
20241007,-1500,이마트24,
20241008,-2420,카카오바이크,
20241008,-6800,서브웨이,
20241009,-15900,카카오선물하기,
20241009,-9500,카바레식당,
20241009,-17000,심쿵피어싱,
20241009,-1500,버스이용,
20241009,-5000,노래방,
20241010,960000,월급,
20241010,-2200,이마트24,
20241011,-24500,배달의 민족,
20241012,-12900,KTX 이용,
20241012,-33000,성심당,
20241012,-20000,두루치기전문,
20241012,-6000,투드커피,
20241012,-14600,배달의 민족,
20241013,-8900,롤링파스타,
20241013,-12100,KTX 이용,
20241013,-2800,버스이용,
20241014,-1300,CU,
20241015,-1680,카카오바이크,
20241015,-2200,세븐일레븐,
20241016,-20000,쿠팡,
20241016,-1100,APPLE,(구독)참고하고지우세요
20241016,-6300,뚜레쥬르,
20241017,-3000,로얄PC,
20241017,-5400,로얄 PC,
20241018,-11000,배달의 민족,
20241019,-8000,메가커피,
20241019,-50000,무신사,
20241019,-13000,롯데시네마,
20241020,-950,카카오바이크,
20241020,-5000,포토이즘,
20241020,-32000,용용선생,
20241020,-2000,아이센스리그,(PC방)
20241020,-3500,아이센스리그,
20241020,-5500,레드버튼,
20241020,-5000,레드버튼,
20241020,-1500,버스이용,
20241021,-4800,빽다방,
20241021,-2100,GS25,
20241022,-9800,두루정,
20241022,-4000,메가커피,
20241023,-26700,동양솥밥,
20241023,-3000,쥬시,
20241024,-4200,CU,
20241024,-1400,CU,
20241024,-1500,버스이용,
20241025,-1500,버스이용,
20241025,-10000,한싱우동,
20241025,-9800,11번가,
20241025,-4300,좋은아침베이커리,
